# Cierre Diario — SEED CAFÉ
## Sábado 13 de junio de 2026

---

## RESUMEN DEL DÍA

Tienda: SEED CAFÉ (200012148)
Horario operativo: 08:13 – 15:37
Total de órdenes: 35
Total ventas: $5987.00
Ticket promedio: $171.06
Ticket mínimo: $40.00
Ticket máximo: $630.00

---

## POR MÉTODO DE PAGO

Tarjeta bancaria: 14 órdenes — $2973.00 (50%)
Efectivo: 9 órdenes — $1647.00 (28%)
Tarjeta de débito: 11 órdenes — $1327.00 (22%)
TARJETA DE VALES: 1 órdenes — $40.00 (1%)
TOTAL: 35 órdenes — $5987.00

---

## TOP 5 PRODUCTOS

SANDWICH P/P/PANELA: 7 uds — $693.00
AMERICANO CALIENTE: 6 uds — $354.00
CAPUCCINO CALIENTE: 5 uds — $380.00
AGUA: 4 uds — $80.00
CHAPATA P/P/PANELA: 3 uds — $360.00

---

## DETALLE DE ÓRDENES

| No. Orden | Monto | Folio/Mesa | Hora | Pago | Fuente | Tipo |
|---|---|---|---|---|---|---|
| 202606130035 | 342.00 | 0036 | 13-06-2026 15:37:18 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130034 | 342.00 | 0035 | 13-06-2026 15:33:17 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130033 | 194.00 | 0034 | 13-06-2026 14:46:01 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130032 | 110.00 | 0033 | 13-06-2026 14:44:26 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130031 | 135.00 | 0032 | 13-06-2026 14:11:15 | Efectivo | Orden en TPV | orden |
| 202606130030 | 158.00 | 0031 | 13-06-2026 14:08:40 | Tarjeta de débito | Orden en TPV | orden |
| 202606130029 | 110.00 | 0030 | 13-06-2026 13:32:02 | Tarjeta de débito | Orden en TPV | orden |
| 202606130028 | 352.00 | 0028 | 13-06-2026 13:30:00 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130027 | 59.00 | 0027 | 13-06-2026 13:24:38 | Efectivo | Orden en TPV | orden |
| 202606130026 | 135.00 | 0026 | 13-06-2026 13:11:04 | Tarjeta de débito | Orden en TPV | orden |
| 202606130025 | 192.00 | 0025 | 13-06-2026 13:04:38 | Tarjeta de débito | Orden en TPV | orden |
| 202606130024 | 40.00 | 0024 | 13-06-2026 12:25:37 | TARJETA DE VALES | Orden en TPV | orden |
| 202606130023 | 40.00 | 0023 | 13-06-2026 12:19:19 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130022 | 97.00 | 0022 | 13-06-2026 12:00:52 | Tarjeta de débito | Orden en TPV | orden |
| 202606130021 | 442.00 | 0021 | 13-06-2026 11:42:32 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130020 | 105.00 | 0020 | 13-06-2026 11:37:54 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130019 | 215.00 | 0019 | 13-06-2026 11:33:49 | Tarjeta de débito | Orden en TPV | orden |
| 202606130018 | 45.00 | 0018 | 13-06-2026 11:32:31 | Tarjeta de débito | Orden en TPV | orden |
| 202606130017 | 92.00 | 0017 | 13-06-2026 11:26:22 | Efectivo | Orden en TPV | orden |
| 202606130016 | 105.00 | 0016 | 13-06-2026 11:24:55 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130015 | 152.00 | 0014 | 13-06-2026 11:23:25 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130014 | 59.00 | 0015 | 13-06-2026 11:16:57 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130013 | 200.00 | 0013 | 13-06-2026 10:45:13 | Efectivo | Orden en TPV | orden |
| 202606130012 | 154.00 | 0012 | 13-06-2026 10:35:52 | Efectivo | Orden en TPV | orden |
| 202606130011 | 50.00 | 0011 | 13-06-2026 10:28:41 | Efectivo | Orden en TPV | orden |
| 202606130010 | 251.00 | 0010 | 13-06-2026 10:17:00 | Efectivo | Orden en TPV | orden |
| 202606130009 | 250.00 | 0009 | 13-06-2026 10:01:38 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130008 | 76.00 | 0008 | 13-06-2026 09:58:24 | Efectivo | Orden en TPV | orden |
| 202606130007 | 165.00 | 0007 | 13-06-2026 09:44:38 | Tarjeta de débito | Orden en TPV | orden |
| 202606130006 | 59.00 | 0006 | 13-06-2026 09:42:19 | Tarjeta de débito | Orden en TPV | orden |
| 202606130005 | 630.00 | 0005 | 13-06-2026 09:31:56 | Efectivo | Orden en TPV | orden |
| 202606130004 | 59.00 | 0004 | 13-06-2026 08:51:58 | Tarjeta de débito | Orden en TPV | orden |
| 202606130003 | 350.00 | 0003 | 13-06-2026 08:33:15 | Tarjeta bancaria | Orden en TPV | orden |
| 202606130002 | 92.00 | 0002 | 13-06-2026 08:31:11 | Tarjeta de débito | Orden en TPV | orden |
| 202606130001 | 130.00 | 0001 | 13-06-2026 08:13:21 | Tarjeta bancaria | Orden en TPV | orden |

---

## DETALLE DE PRODUCTOS

| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202606130035 | CHAI VAINILLA CALIENTE | 01 LECHE ENTERA | 2 | 200.00 | No |
| 202606130035 | FRAPPE NUTELLA | 04 LECHE DE ALMENDRA/Shot Extra Cafe | 1 | 142.00 | No |
| 202606130034 | WRAP DE OMELETTE Y CHILORIO |  | 1 | 150.00 | No |
| 202606130034 | MOKA BLANCO CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1 | 92.00 | No |
| 202606130034 | CHAI ORIGINAL CALIENTE | 02 LECHE DESLACTOSADA | 1 | 100.00 | No |
| 202606130033 | CAPUCCINO FRAPPE | 01 LECHE ENTERA | 1 | 95.00 | No |
| 202606130033 | SANDWICH P/P/PANELA | MULTIGRANO | 1 | 99.00 | No |
| 202606130032 | MOKA CAPUCCINO FRAPPE | 02LECHE DESLACTOSADA | 1 | 110.00 | No |
| 202606130031 | AMERICANO CALIENTE |  | 1 | 59.00 | No |
| 202606130031 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1 | 76.00 | No |
| 202606130030 | CHAPATA P/P/PANELA | PAVO | 1 | 120.00 | No |
| 202606130030 | POLVORONES |  | 1 | 38.00 | No |
| 202606130029 | CARAMEL CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1 | 110.00 | No |
| 202606130028 | AMERICANO CALIENTE |  | 1 | 59.00 | No |
| 202606130028 | CHAI ORIGINAL FRIO | 13 LECHE DE SOYA | 1 | 117.00 | No |
| 202606130028 | CAPUCCINO FRIO | 03 LECHE DE COCO | 1 | 94.00 | No |
| 202606130028 | CAPUCCINO FRIO | 09 LECHE DESLC LIGHT | 1 | 82.00 | No |
| 202606130027 | AMERICANO CALIENTE |  | 1 | 59.00 | No |
| 202606130026 | ENSALADA |  | 1 | 135.00 | No |
| 202606130025 | CHOCOLATE FRIO |  | 1 | 95.00 | No |
| 202606130025 | LATTE FRIO VAINILLA |  | 1 | 97.00 | No |
| 202606130024 | AGUA |  | 2 | 40.00 | No |
| 202606130023 | TRENZAS DE MAPLE Y NUEZ |  | 1 | 40.00 | No |
| 202606130022 | LATTE FRIO VAINILLA | 02 LECHE DESLACTOSADA | 1 | 97.00 | No |
| 202606130021 | MATCHA FRIO | 09 LECHE DESLC LIGHT | 1 | 105.00 | No |
| 202606130021 | SANDWICH P/P/PANELA | MANTEQUILLA/PAVO | 1 | 99.00 | No |
| 202606130021 | CHAPATA P/P/PANELA | PAVO | 1 | 120.00 | No |
| 202606130021 | ROL DE CANELA |  | 1 | 58.00 | No |
| 202606130021 | TRENZAS DE MAPLE Y NUEZ |  | 1 | 40.00 | No |
| 202606130021 | AGUA |  | 1 | 20.00 | No |
| 202606130020 | CHAI VAINILLA FRIO | 02 LECHE DESLACTOSADA | 1 | 105.00 | No |
| 202606130019 | TARO FRAPPE | 01 LECHE ENTERA | 1 | 115.00 | No |
| 202606130019 | TARO CALIENTE | 01 LECHE ENTERA | 1 | 100.00 | No |
| 202606130018 | AGUA MINERAL |  | 1 | 45.00 | No |
| 202606130017 | LATTE CARAMEL CALIENTE | LECHE LIGHT | 1 | 92.00 | No |
| 202606130016 | MATCHA FRIO | 01 LECHE ENTERA | 1 | 105.00 | No |
| 202606130015 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1 | 76.00 | No |
| 202606130015 | LATTE CALIENTE | 01 LECHE ENTERA | 1 | 76.00 | No |
| 202606130014 | AMERICANO CALIENTE |  | 1 | 59.00 | No |
| 202606130013 | WRAP DE OMELETTE JAMON Y QUESO |  | 1 | 140.00 | No |
| 202606130013 | TÉ CANELA A LA MANZANA FRIO |  | 1 | 60.00 | No |
| 202606130012 | TÉ MANZANILLA-JENGIBRE CALIENTE |  | 1 | 55.00 | No |
| 202606130012 | SANDWICH P/P/PANELA | MULTIGRANO | 1 | 99.00 | No |
| 202606130011 | NUTRI BARRA |  | 1 | 50.00 | No |
| 202606130010 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1 | 76.00 | No |
| 202606130010 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1 | 76.00 | No |
| 202606130010 | SANDWICH P/P/PANELA | MANTEQUILLA/PAVO | 1 | 99.00 | No |
| 202606130009 | MIX BERRIES SMOOTHIE |  | 1 | 100.00 | No |
| 202606130009 | CHAPATA CHILORIO |  | 1 | 150.00 | No |
| 202606130008 | CAPUCCINO CALIENTE |  | 1 | 76.00 | No |
| 202606130007 | MATCHA FRIO | 02 LECHE DESLACTOSADA | 1 | 105.00 | No |
| 202606130007 | TE FRUTOS ROJOS FRIO |  | 1 | 60.00 | No |
| 202606130006 | AMERICANO CALIENTE |  | 1 | 59.00 | No |
| 202606130005 | WRAP DE OMELETTE Y CHILORIO |  | 1 | 150.00 | No |
| 202606130005 | CHAPATA P/P/PANELA | PAVO | 1 | 120.00 | No |
| 202606130005 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1 | 99.00 | No |
