# Cierre Diario — SEED CAFÉ
## Sábado 20 de junio de 2026

---

## RESUMEN DEL DÍA

Tienda: SEED CAFÉ (200012148)
Horario operativo: 07:33 – 14:49
Total de órdenes: 33
Total ventas: $5236.50
Ticket promedio: $158.68
Ticket mínimo: $20.00
Ticket máximo: $365.00

---

## POR MÉTODO DE PAGO

Tarjeta bancaria: 13 órdenes — $2114.50 (40%)
Efectivo: 10 órdenes — $1585.00 (30%)
Tarjeta de débito: 9 órdenes — $1297.00 (25%)
Transferencia: 1 órdenes — $240.00 (5%)
TOTAL: 33 órdenes — $5236.50

---

## TOP 5 PRODUCTOS

CHAPATA P/P/PANELA: 5.0 uds — $600.00
SANDWICH P/P/PANELA: 4.0 uds — $396.00
AGUA FRIA1: 4.0 uds — $312.00
MOLLETES: 3.0 uds — $450.00
TRENZAS DE MAPLE Y NUEZ: 3.0 uds — $120.00

---

## DETALLE DE ÓRDENES

| No. Orden | Monto | Folio/Mesa | Hora | Pago | Fuente | Tipo |
|---|---|---|---|---|---|---|
| 202606200033 | 177.00 | 0033 | 20-06-2026 14:49:20 | Tarjeta de débito | Orden en TPV | orden |
| 202606200032 | 306.00 | 0032 | 20-06-2026 14:47:09 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200031 | 78.00 | 0031 | 20-06-2026 14:45:19 | Tarjeta de débito | Orden en TPV | orden |
| 202606200030 | 327.00 | 0030 | 20-06-2026 14:43:00 | Tarjeta de débito | Orden en TPV | orden |
| 202606200029 | 240.00 | 0029 | 20-06-2026 14:07:20 | Transferencia | Orden en TPV | orden |
| 202606200028 | 120.00 | 0028 | 20-06-2026 14:03:46 | Tarjeta de débito | Orden en TPV | orden |
| 202606200027 | 135.00 | 0027 | 20-06-2026 13:10:21 | Efectivo | Orden en TPV | orden |
| 202606200026 | 92.00 | 0026 | 20-06-2026 13:10:05 | Tarjeta de débito | Orden en TPV | orden |
| 202606200025 | 59.00 | 0025 | 20-06-2026 12:41:32 | Tarjeta de débito | Orden en TPV | orden |
| 202606200024 | 160.00 | 0024 | 20-06-2026 12:32:47 | Tarjeta de débito | Orden en TPV | orden |
| 202606200023 | 104.50 | 0023 | 20-06-2026 12:30:35 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200022 | 92.00 | 0022 | 20-06-2026 11:47:19 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200021 | 163.00 | 0021 | 20-06-2026 11:15:02 | Efectivo | Orden en TPV | orden |
| 202606200020 | 105.00 | 0020 | 20-06-2026 11:06:01 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200019 | 79.00 | 0019 | 20-06-2026 10:34:35 | Efectivo | Orden en TPV | orden |
| 202606200018 | 65.00 | 0018 | 20-06-2026 10:22:48 | Efectivo | Orden en TPV | orden |
| 202606200017 | 76.00 | 0017 | 20-06-2026 10:18:25 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200016 | 167.00 | 0016 | 20-06-2026 10:16:29 | Efectivo | Orden en TPV | orden |
| 202606200015 | 215.00 | 0015 | 20-06-2026 10:07:11 | Efectivo | Orden en TPV | orden |
| 202606200014 | 250.00 | 0014 | 20-06-2026 10:01:09 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200013 | 76.00 | 0013 | 20-06-2026 09:55:58 | Tarjeta de débito | Orden en TPV | orden |
| 202606200012 | 145.00 | 0012 | 20-06-2026 09:48:41 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200011 | 180.00 | 0011 | 20-06-2026 09:39:42 | Efectivo | Orden en TPV | orden |
| 202606200010 | 299.00 | 0010 | 20-06-2026 09:33:12 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200009 | 365.00 | 0003 | 20-06-2026 09:13:15 | Efectivo | Orden en TPV | orden |
| 202606200008 | 92.00 | 0009 | 20-06-2026 08:48:57 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200007 | 20.00 | 0008 | 20-06-2026 08:47:17 | Efectivo | Orden en TPV | orden |
| 202606200006 | 240.00 | 0007 | 20-06-2026 08:45:40 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200005 | 150.00 | 0006 | 20-06-2026 08:43:53 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200004 | 99.00 | 0005 | 20-06-2026 08:42:27 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200003 | 156.00 | 0004 | 20-06-2026 08:34:57 | Tarjeta bancaria | Orden en TPV | orden |
| 202606200002 | 196.00 | 0002 | 20-06-2026 08:15:46 | Efectivo | Orden en TPV | orden |
| 202606200001 | 208.00 | 0001 | 20-06-2026 07:33:29 | Tarjeta de débito | Orden en TPV | orden |

---

## DETALLE DE PRODUCTOS

| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202606200033 | SANDWICH P/P/PANELA | MANTEQUILLA | 1.0 | 99.00 | No |
| 202606200033 | AGUA FRIA1 | FRESA-COCO | 1.0 | 78.00 | No |
| 202606200032 | CHAPATA CHILORIO |  | 1.0 | 150.00 | No |
| 202606200032 | AGUA FRIA1 | FRESA-COCO | 2.0 | 156.00 | No |
| 202606200031 | AGUA FRIA1 |  | 1.0 | 78.00 | No |
| 202606200030 | MOLLETES |  | 1.0 | 140.00 | No |
| 202606200030 | LATTE FRIO VAINILLA | 02 LECHE DESLACTOSADA | 1.0 | 97.00 | No |
| 202606200030 | CHOCOLATE CALIENTE | 01 LECHE ENTERA | 1.0 | 90.00 | No |
| 202606200029 | CHAPATA P/P/PANELA |  | 1.0 | 120.00 | No |
| 202606200029 | CHAI VAINILLA FRIO | 02 LECHE DESLACTOSADA/Shot Extra Cafe | 1.0 | 120.00 | No |
| 202606200028 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202606200027 | ENSALADA |  | 1.0 | 135.00 | No |
| 202606200026 | MOKA CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 92.00 | No |
| 202606200025 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202606200024 | TRENZAS DE MAPLE Y NUEZ |  | 1.0 | 40.00 | No |
| 202606200024 | TE FRUTOS ROJOS FRIO |  | 1.0 | 60.00 | No |
| 202606200024 | TÉ CANELA A LA MANZANA FRIO |  | 1.0 | 60.00 | No |
| 202606200023 | CAPUCCINO FRAPPE | 01 LECHE ENTERA | 1.0 | 95.00 | No |
| 202606200022 | CAPUCCINO VAINILLA S/A | 09 LECHE DESLC LIGHT | 1.0 | 92.00 | No |
| 202606200021 | CHOCOLATE BLANCO FRIO | 02 LECHE DESLACTOSADA | 1.0 | 95.00 | No |
| 202606200021 | ROL DE CANELA MANZANA |  | 1.0 | 68.00 | No |
| 202606200020 | MARACUYA SMOOTHIE |  | 1.0 | 105.00 | No |
| 202606200019 | EUROPEO CALIENTE |  | 1.0 | 79.00 | No |
| 202606200018 | TISANA |  | 1.0 | 65.00 | No |
| 202606200017 | LATTE CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202606200016 | CHAI VAINILLA CALIENTE | 14 LECHE DE AVENA | 1.0 | 112.00 | No |
| 202606200016 | TÉ MANZANILLA-JENGIBRE CALIENTE |  | 1.0 | 55.00 | No |
| 202606200015 | MATCHA FRIO | 02 LECHE DESLACTOSADA | 1.0 | 105.00 | No |
| 202606200015 | MOKA BLANCO CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 110.00 | No |
| 202606200014 | MIX BERRIES SMOOTHIE |  | 1.0 | 100.00 | No |
| 202606200014 | CHAPATA CHILORIO |  | 1.0 | 150.00 | No |
| 202606200013 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606200012 | CHOCOLATE CALIENTE | Shot Extra Cafe | 1.0 | 105.00 | No |
| 202606200012 | TRENZAS DE MAPLE Y NUEZ |  | 1.0 | 40.00 | No |
| 202606200011 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606200011 | AMERICANO FRIO |  | 1.0 | 64.00 | No |
| 202606200011 | TRENZAS DE MAPLE Y NUEZ |  | 1.0 | 40.00 | No |
| 202606200010 | MOLLETES | CHORIZO | 1.0 | 170.00 | No |
| 202606200010 | AMERICANO CALIENTE | 11 DESCAFEINADO/10 CORTADO | 1.0 | 65.00 | No |
| 202606200010 | AMERICANO FRIO |  | 1.0 | 64.00 | No |
| 202606200009 | SINCRONIZADAS DE JAMON |  | 1.0 | 130.00 | No |
| 202606200009 | MOLLETES |  | 1.0 | 140.00 | No |
| 202606200009 | CAPUCCINO FRAPPE |  | 1.0 | 95.00 | No |
| 202606200008 | CAPUCCINO CALIENTE CARAMEL | 01 LECHE ENTERA | 1.0 | 92.00 | No |
| 202606200007 | AGUA |  | 1.0 | 20.00 | No |
| 202606200006 | CHAPATA P/P/PANELA | PAVO | 2.0 | 240.00 | No |
| 202606200005 | CAPUCCINO FRIO | 01 LECHE ENTERA | 1.0 | 82.00 | No |
| 202606200005 | ROL DE CANELA MANZANA |  | 1.0 | 68.00 | No |
| 202606200004 | SANDWICH P/P/PANELA | MANTEQUILLA/PAVO | 1.0 | 99.00 | No |
| 202606200003 | ESPRESSO DOBLE | 16 CORTADO LECHE AVENA | 1.0 | 57.00 | No |
| 202606200003 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202606200002 | LATTE FRIO VAINILLA |  | 1.0 | 97.00 | No |
