# Cierre Diario — SEED CAFÉ
## Sábado 27 de junio de 2026

---

## RESUMEN DEL DÍA

Tienda: SEED CAFÉ (200012148)
Horario operativo: 07:21 – 15:32
Total de órdenes: 38
Total ventas: $5622.00
Ticket promedio: $147.95
Ticket mínimo: $0.00
Ticket máximo: $372.00

---

## POR MÉTODO DE PAGO

Efectivo: 21 órdenes — $2227.00 (40%)
Tarjeta bancaria: 9 órdenes — $1750.00 (31%)
Tarjeta de débito: 8 órdenes — $1645.00 (29%)
TOTAL: 38 órdenes — $5622.00

---

## TOP 5 PRODUCTOS

CAPUCCINO CALIENTE: 6.0 uds — $468.00
SANDWICH P/P/PANELA: 5.0 uds — $495.00
AMERICANO CALIENTE: 4.0 uds — $236.00
CHAI VAINILLA S/A CALIENTE: 3.0 uds — $330.00
TRENZAS DE MAPLE Y NUEZ: 3.0 uds — $120.00

---

## DETALLE DE ÓRDENES

| No. Orden | Monto | Folio/Mesa | Hora | Pago | Fuente | Tipo |
|---|---|---|---|---|---|---|
| 202606270038 | 50.00 | 0038 | 27-06-2026 15:32:10 | Efectivo | Orden en TPV | orden |
| 202606270037 | 265.00 | 0037 | 27-06-2026 15:28:51 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270036 | 115.00 | 0036 | 27-06-2026 15:22:38 | Efectivo | Orden en TPV | orden |
| 202606270035 | 230.00 | 0035 | 27-06-2026 15:17:04 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270034 | 120.00 | 0034 | 27-06-2026 14:45:15 | Efectivo | Orden en TPV | orden |
| 202606270033 | 170.00 | 0033 | 27-06-2026 14:06:51 | Efectivo | Orden en TPV | orden |
| 202606270032 | 349.00 | 0032 | 27-06-2026 13:25:05 | Tarjeta de débito | Orden en TPV | orden |
| 202606270031 | 76.00 | 0031 | 27-06-2026 13:15:28 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270030 | 98.00 | 0030 | 27-06-2026 12:27:14 | Efectivo | Orden en TPV | orden |
| 202606270029 | 301.00 | 0029 | 27-06-2026 12:23:57 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270028 | 75.00 | 0028 | 27-06-2026 12:20:14 | Tarjeta de débito | Orden en TPV | orden |
| 202606270027 | 76.00 | 0027 | 27-06-2026 12:13:57 | Tarjeta de débito | Orden en TPV | orden |
| 202606270026 | 200.00 | 0026 | 27-06-2026 11:39:52 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270025 | 0.00 | 0025 | 27-06-2026 11:14:08 | Efectivo | Orden en TPV | orden |
| 202606270024 | 82.00 | 0024 | 27-06-2026 10:46:04 | Efectivo | Orden en TPV | orden |
| 202606270023 | 175.00 | 0023 | 27-06-2026 10:43:04 | Tarjeta de débito | Orden en TPV | orden |
| 202606270022 | 195.00 | 0022 | 27-06-2026 10:34:02 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270021 | 59.00 | 0021 | 27-06-2026 10:31:08 | Efectivo | Orden en TPV | orden |
| 202606270020 | 204.00 | 0020 | 27-06-2026 10:30:27 | Tarjeta de débito | Orden en TPV | orden |
| 202606270019 | 215.00 | 0019 | 27-06-2026 10:27:41 | Tarjeta de débito | Orden en TPV | orden |
| 202606270018 | 217.00 | 0018 | 27-06-2026 10:24:06 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270017 | 144.00 | 0017 | 27-06-2026 09:40:56 | Efectivo | Orden en TPV | orden |
| 202606270016 | 179.00 | 0016 | 27-06-2026 09:39:56 | Tarjeta de débito | Orden en TPV | orden |
| 202606270015 | 99.00 | 0015 | 27-06-2026 09:37:38 | Efectivo | Orden en TPV | orden |
| 202606270014 | 76.00 | 0014 | 27-06-2026 09:34:56 | Efectivo | Orden en TPV | orden |
| 202606270013 | 214.00 | 0013 | 27-06-2026 09:33:33 | Efectivo | Orden en TPV | orden |
| 202606270012 | 146.00 | 0012 | 27-06-2026 09:31:43 | Efectivo | Orden en TPV | orden |
| 202606270011 | 79.00 | 0011 | 27-06-2026 09:06:39 | Efectivo | Orden en TPV | orden |
| 202606270010 | 160.00 | 0010 | 27-06-2026 08:42:54 | Efectivo | Orden en TPV | orden |
| 202606270009 | 372.00 | 0009 | 27-06-2026 08:41:59 | Tarjeta de débito | Orden en TPV | orden |
| 202606270008 | 152.00 | 0008 | 27-06-2026 08:17:59 | Efectivo | Orden en TPV | orden |
| 202606270007 | 76.00 | 0007 | 27-06-2026 08:15:58 | Efectivo | Orden en TPV | orden |
| 202606270006 | 91.00 | 0006 | 27-06-2026 08:04:25 | Efectivo | Orden en TPV | orden |
| 202606270005 | 174.00 | 0005 | 27-06-2026 07:56:33 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270004 | 92.00 | 0004 | 27-06-2026 07:39:33 | Tarjeta bancaria | Orden en TPV | orden |
| 202606270003 | 59.00 | 0003 | 27-06-2026 07:33:37 | Efectivo | Orden en TPV | orden |
| 202606270002 | 130.00 | 0002 | 27-06-2026 07:23:06 | Efectivo | Orden en TPV | orden |
| 202606270001 | 107.00 | 0001 | 27-06-2026 07:21:57 | Efectivo | Orden en TPV | orden |

---

## DETALLE DE PRODUCTOS

| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202606270038 | AGUA |  | 1.0 | 20.00 | No |
| 202606270037 | ENSALADA | ATÚN | 1.0 | 170.00 | No |
| 202606270037 | CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 95.00 | No |
| 202606270036 | FRAPPE NUTELLA | 01 LECHE ENTERA | 1.0 | 115.00 | No |
| 202606270035 | CHAI VAINILLA S/A CALIENTE | Shot Extra Cafe/02LECHE DESLACTOSADA | 1.0 | 115.00 | No |
| 202606270035 | TARO S/A CALIENTE | Shot Extra Cafe/02 LECHE DESLACTOSADA | 1.0 | 115.00 | No |
| 202606270034 | TARO S/A FRIO | 04 LECHE DE ALMENDRA | 1.0 | 120.00 | No |
| 202606270033 | SINCRONIZADAS DE CHILORIO |  | 1.0 | 150.00 | No |
| 202606270033 | AGUA |  | 1.0 | 20.00 | No |
| 202606270032 | MATCHA FRAPPE | Shot Extra Cafe*2 | 1.0 | 145.00 | No |
| 202606270032 | MARACUYA SMOOTHIE |  | 1.0 | 105.00 | No |
| 202606270032 | COFFE TONIC |  | 1.0 | 99.00 | No |
| 202606270031 | LATTE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606270030 | TRENZAS DE MAPLE Y NUEZ |  | 1.0 | 40.00 | No |
| 202606270030 | ROL DE CANELA |  | 1.0 | 58.00 | No |
| 202606270029 | MATCHA FRIO | 04 LECHE DE ALMENDRA | 1.0 | 117.00 | No |
| 202606270029 | CAPUCCINO CALIENTE CREMA IRLANDESA | 01 LECHE ENTERA | 1.0 | 92.00 | No |
| 202606270029 | LATTE VAINILLA CALIENTE | 01 LECHE ENTERA | 1.0 | 92.00 | No |
| 202606270028 | YOGURT GRIEGO CON FRESAS |  | 1.0 | 75.00 | No |
| 202606270027 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606270026 | TE MANZANILLA JENGIBRE FRIO |  | 1.0 | 60.00 | No |
| 202606270026 | WRAP DE OMELETTE JAMON Y QUESO |  | 1.0 | 140.00 | No |
| 202606270025 | BEBIDA GRATIS PROGRAMA LEALTAD |  | 1.0 | 0.00 | No |
| 202606270024 | LATTE FRIO | 02 LECHE DESLACTOSADA | 1.0 | 82.00 | No |
| 202606270023 | SANDWICH P/P/PANELA | MANTEQUILLA | 1.0 | 99.00 | No |
| 202606270023 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202606270022 | ENSALADA |  | 1.0 | 135.00 | No |
| 202606270022 | TE FRUTOS ROJOS FRIO |  | 1.0 | 60.00 | No |
| 202606270021 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202606270020 | SANDWICH P/P/PANELA | MULTIGRANO | 1.0 | 99.00 | No |
| 202606270020 | MATCHA FRIO | 02 LECHE DESLACTOSADA | 1.0 | 105.00 | No |
| 202606270019 | CHAI VAINILLA S/A CALIENTE | 09 LECHE DESLC LIGHT | 1.0 | 100.00 | No |
| 202606270019 | CHAI VAINILLA S/A CALIENTE | Shot Extra Cafe/09 LECHE DESLC LIGHT | 1.0 | 115.00 | No |
| 202606270018 | CHAI VAINILLA CALIENTE | 03 LECHE DE COCO | 1.0 | 112.00 | No |
| 202606270018 | MATCHA FRIO | 09 LECHE DESLC LIGHT | 1.0 | 105.00 | No |
| 202606270017 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202606270017 | COCA ZERO |  | 1.0 | 45.00 | No |
| 202606270016 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202606270016 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202606270015 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202606270014 | CAPUCCINO CALIENTE | 01 LECHE ENTERA/11 DESCAFEINADO | 1.0 | 76.00 | No |
| 202606270013 | FRAPPE YOGURT FRESA |  | 1.0 | 115.00 | No |
| 202606270013 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202606270012 | CAPUCCINO CALIENTE | 13 LECHE DE SOYA | 1.0 | 88.00 | No |
| 202606270012 | ROL DE CANELA |  | 1.0 | 58.00 | No |
| 202606270011 | EUROPEO CALIENTE |  | 1.0 | 79.00 | No |
| 202606270010 | MOKA BLANCO CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 92.00 | No |
| 202606270010 | ROL DE CANELA CAJETA Y NUEZ |  | 1.0 | 68.00 | No |
| 202606270009 | TRENZAS DE MAPLE Y NUEZ |  | 1.0 | 40.00 | No |
| 202606270009 | MOKA CAPUCCINO CALIENTE | 09 LECHE DESLC LIGHT | 1.0 | 92.00 | No |
| 202606270009 | TARO CALIENTE | 09 LECHE DESLC LIGHT | 1.0 | 100.00 | No |
| 202606270009 | WRAP DE OMELETTE JAMON Y QUESO |  | 1.0 | 140.00 | No |
| 202606270008 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202606270008 | LATTE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
