# Cierre Diario — SEED CAFÉ
## Sábado 25 de julio de 2026

---

## RESUMEN DEL DÍA

Tienda: SEED CAFÉ (200012148)
Horario operativo: 07:54 – 14:59
Total de órdenes: 39
Total ventas: $6268.00
Ticket promedio: $160.72
Ticket mínimo: $40.00
Ticket máximo: $540.00

---

## POR MÉTODO DE PAGO

Efectivo: 25 órdenes — $4460.00 (71%)
Tarjeta bancaria: 9 órdenes — $1428.00 (23%)
Tarjeta de débito: 5 órdenes — $380.00 (6%)
TOTAL: 39 órdenes — $6268.00

---

## TOP 5 PRODUCTOS

AMERICANO CALIENTE: 9.0 uds — $531.00
CAPUCCINO CALIENTE: 9.0 uds — $684.00
CHAPATA P/P/PANELA: 6.0 uds — $720.00
OREJITAS: 4.0 uds — $160.00
SANDWICH P/P/PANELA: 4.0 uds — $396.00

---

## DETALLE DE ÓRDENES

| No. Orden | Monto | Folio/Mesa | Hora | Pago | Fuente | Tipo |
|---|---|---|---|---|---|---|
| 202607250039 | 54.00 | 0039 | 25-07-2026 14:59:17 | Tarjeta de débito | Orden en TPV | orden |
| 202607250038 | 99.00 | 0038 | 25-07-2026 14:31:33 | Efectivo | Orden en TPV | orden |
| 202607250037 | 361.00 | 0037 | 25-07-2026 13:59:14 | Efectivo | Orden en TPV | orden |
| 202607250036 | 540.00 | 0036 | 25-07-2026 13:41:51 | Efectivo | Orden en TPV | orden |
| 202607250035 | 249.00 | 0035 | 25-07-2026 13:33:26 | Efectivo | Orden en TPV | orden |
| 202607250034 | 249.00 | 0034 | 25-07-2026 13:23:45 | Efectivo | Orden en TPV | orden |
| 202607250033 | 276.00 | 0033 | 25-07-2026 13:18:08 | Efectivo | Orden en TPV | orden |
| 202607250032 | 76.00 | 0032 | 25-07-2026 13:01:05 | Efectivo | Orden en TPV | orden |
| 202607250031 | 194.00 | 0031 | 25-07-2026 12:50:39 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250030 | 115.00 | 0030 | 25-07-2026 12:46:27 | Tarjeta de débito | Orden en TPV | orden |
| 202607250029 | 95.00 | 0029 | 25-07-2026 12:09:18 | Efectivo | Orden en TPV | orden |
| 202607250028 | 145.00 | 0028 | 25-07-2026 11:39:34 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250027 | 215.00 | 0027 | 25-07-2026 11:36:50 | Efectivo | Orden en TPV | orden |
| 202607250026 | 312.00 | 0026 | 25-07-2026 11:24:40 | Efectivo | Orden en TPV | orden |
| 202607250025 | 210.00 | 0025 | 25-07-2026 10:56:30 | Efectivo | Orden en TPV | orden |
| 202607250024 | 200.00 | 0024 | 25-07-2026 10:47:58 | Efectivo | Orden en TPV | orden |
| 202607250023 | 116.00 | 0009 | 25-07-2026 10:29:52 | Efectivo | Orden en TPV | orden |
| 202607250022 | 134.00 | 0023 | 25-07-2026 10:25:16 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250021 | 40.00 | 0022 | 25-07-2026 10:22:34 | Efectivo | Orden en TPV | orden |
| 202607250020 | 76.00 | 0021 | 25-07-2026 10:14:36 | Efectivo | Orden en TPV | orden |
| 202607250019 | 59.00 | 0020 | 25-07-2026 10:10:54 | Efectivo | Orden en TPV | orden |
| 202607250018 | 268.00 | 0019 | 25-07-2026 10:09:45 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250017 | 120.00 | 0018 | 25-07-2026 10:06:11 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250016 | 118.00 | 0017 | 25-07-2026 10:00:31 | Efectivo | Orden en TPV | orden |
| 202607250015 | 88.00 | 0016 | 25-07-2026 09:53:55 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250014 | 71.00 | 0015 | 25-07-2026 09:50:18 | Efectivo | Orden en TPV | orden |
| 202607250013 | 229.00 | 0014 | 25-07-2026 09:47:27 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250012 | 160.00 | 0013 | 25-07-2026 09:44:39 | Tarjeta bancaria | Orden en TPV | orden |
| 202607250011 | 135.00 | 0012 | 25-07-2026 09:40:40 | Efectivo | Orden en TPV | orden |
| 202607250010 | 196.00 | 0011 | 25-07-2026 09:38:43 | Efectivo | Orden en TPV | orden |
| 202607250009 | 196.00 | 0010 | 25-07-2026 09:35:36 | Efectivo | Orden en TPV | orden |
| 202607250008 | 140.00 | 0008 | 25-07-2026 09:33:36 | Efectivo | Orden en TPV | orden |
| 202607250007 | 135.00 | 0007 | 25-07-2026 09:10:18 | Efectivo | Orden en TPV | orden |
| 202607250006 | 76.00 | 0006 | 25-07-2026 08:43:31 | Tarjeta de débito | Orden en TPV | orden |
| 202607250005 | 59.00 | 0005 | 25-07-2026 08:41:54 | Tarjeta de débito | Orden en TPV | orden |
| 202607250004 | 120.00 | 0004 | 25-07-2026 08:36:11 | Efectivo | Orden en TPV | orden |
| 202607250003 | 76.00 | 0003 | 25-07-2026 08:15:15 | Tarjeta de débito | Orden en TPV | orden |
| 202607250002 | 176.00 | 0002 | 25-07-2026 08:05:33 | Efectivo | Orden en TPV | orden |
| 202607250001 | 90.00 | 0001 | 25-07-2026 07:54:18 | Tarjeta bancaria | Orden en TPV | orden |

---

## DETALLE DE PRODUCTOS

| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202607250039 | ESPRESSO DOBLE | 10 CORTADO | 1.0 | 54.00 | No |
| 202607250038 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607250038 | OREJITAS |  | 1.0 | 40.00 | No |
| 202607250037 | SANDWICH P/P/PANELA |  | 3.0 | 297.00 | No |
| 202607250037 | AMERICANO FRIO |  | 1.0 | 64.00 | No |
| 202607250036 | CONSUMO SEMANAL FARMACADEL |  | 1.0 | 900.00 | No |
| 202607250035 | CHAI VAINILLA CALIENTE | 13 LECHE DE SOYA | 1.0 | 112.00 | No |
| 202607250035 | EUROPEO CALIENTE |  | 1.0 | 79.00 | No |
| 202607250035 | ROL DE CANELA |  | 1.0 | 58.00 | No |
| 202607250034 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202607250034 | FRAPPE YOGURT MIX BERRIES |  | 1.0 | 115.00 | No |
| 202607250034 | ROL DE CANELA |  | 1.0 | 58.00 | No |
| 202607250033 | ENSALADA | POLLO | 1.0 | 180.00 | No |
| 202607250033 | LATTE CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202607250033 | AGUA |  | 1.0 | 20.00 | No |
| 202607250032 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202607250031 | CAPUCCINO FRAPPE | 01 LECHE ENTERA | 1.0 | 95.00 | No |
| 202607250031 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607250031 | POLVORONES |  | 1.0 | 40.00 | No |
| 202607250030 | FRAPPE YOGURT FRESA |  | 1.0 | 115.00 | No |
| 202607250029 | CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 95.00 | No |
| 202607250028 | TARO FRIO | LECHE LIGHT | 1.0 | 105.00 | No |
| 202607250028 | OREJITAS |  | 1.0 | 40.00 | No |
| 202607250027 | CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 95.00 | No |
| 202607250027 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202607250026 | SANDWICH P/P/PANELA | MULTIGRANO | 1.0 | 99.00 | No |
| 202607250026 | TÉ MANZANA/CANELA CALIENTE |  | 1.0 | 55.00 | No |
| 202607250026 | MIX BERRIES SMOOTHIE |  | 1.0 | 100.00 | No |
| 202607250026 | ROL DE CANELA |  | 1.0 | 58.00 | No |
| 202607250025 | TE FRUTOS ROJOS FRIO |  | 1.0 | 60.00 | No |
| 202607250025 | WRAP DE OMELETTE Y CHILORIO |  | 1.0 | 150.00 | No |
| 202607250024 | WRAP DE OMELETTE JAMON Y QUESO |  | 1.0 | 140.00 | No |
| 202607250024 | TÉ CANELA A LA MANZANA FRIO |  | 1.0 | 60.00 | No |
| 202607250023 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202607250023 | OREJITAS |  | 1.0 | 40.00 | No |
| 202607250022 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607250022 | YOGURT GRIEGO CON FRESAS |  | 1.0 | 75.00 | No |
| 202607250021 | OREJITAS |  | 1.0 | 40.00 | No |
| 202607250020 | FLAT WHITE CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202607250019 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607250018 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202607250018 | ESPRESSO DOBLE |  | 1.0 | 48.00 | No |
| 202607250018 | CHAI GUAYABA |  | 1.0 | 100.00 | No |
| 202607250017 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202607250016 | AMERICANO CALIENTE |  | 2.0 | 118.00 | No |
| 202607250015 | LATTE CALIENTE | 04 LECHE DE ALMENDRA | 1.0 | 88.00 | No |
| 202607250014 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202607250013 | CHAI VAINILLA FRAPPE | Shot Extra Cafe/09 LECHE DESLC LIGHT | 1.0 | 130.00 | No |
| 202607250013 | COFFE TONIC |  | 1.0 | 99.00 | No |
| 202607250012 | CAPUCCINO CALIENTE AMARETTO | 02 LECHE DESLACTOSADA | 1.0 | 92.00 | No |
| 202607250012 | ROL DE CANELA NUTELLA |  | 1.0 | 68.00 | No |
| 202607250011 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607250011 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202607250010 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202607250010 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202607250009 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202607250009 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202607250008 | MOLLETES |  | 1.0 | 140.00 | No |
| 202607250007 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202607250007 | CAPUCCINO CALIENTE | 09 LECHE DESLC LIGHT | 1.0 | 76.00 | No |
