# Cierre Diario — SEED CAFÉ
## Sábado 22 de agosto de 2026

---

## RESUMEN DEL DÍA

Tienda: SEED CAFÉ (200012148)
Horario operativo: 07:41 – 14:10
Total de órdenes: 42
Total ventas: $7258.50
Ticket promedio: $172.82
Ticket mínimo: $20.00
Ticket máximo: $614.00

---

## POR MÉTODO DE PAGO

Tarjeta bancaria: 16 órdenes — $3660.00 (50%)
Efectivo: 17 órdenes — $2058.00 (28%)
Tarjeta de débito: 9 órdenes — $1540.50 (21%)
TOTAL: 42 órdenes — $7258.50

---

## TOP 5 PRODUCTOS

CAPUCCINO CALIENTE: 7 uds — $544.00
AMERICANO CALIENTE: 6 uds — $372.00
SANDWICH P/P/PANELA: 6 uds — $594.00
CAPUCCINO FRIO: 5 uds — $410.00
OREJITAS: 4 uds — $160.00

---

## DETALLE DE ÓRDENES

| No. Orden | Monto | Folio/Mesa | Hora | Pago | Fuente | Tipo |
|---|---|---|---|---|---|---|
| 202608220042 | 99.00 | 0042 | 22-08-2026 14:10:30 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220041 | 40.00 | 0041 | 22-08-2026 13:58:50 | Efectivo | Orden en TPV | orden |
| 202608220040 | 99.00 | 0040 | 22-08-2026 13:32:07 | Efectivo | Orden en TPV | orden |
| 202608220039 | 432.00 | 0039 | 22-08-2026 13:07:26 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220038 | 20.00 | 0038 | 22-08-2026 12:53:59 | Efectivo | Orden en TPV | orden |
| 202608220037 | 290.00 | 0037 | 22-08-2026 12:53:44 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220036 | 192.50 | 0036 | 22-08-2026 12:52:14 | Tarjeta de débito | Orden en TPV | orden |
| 202608220035 | 220.00 | 0035 | 22-08-2026 12:43:29 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220034 | 231.00 | 0034 | 22-08-2026 12:29:17 | Efectivo | Orden en TPV | orden |
| 202608220033 | 230.00 | 0033 | 22-08-2026 12:24:58 | Efectivo | Orden en TPV | orden |
| 202608220032 | 403.00 | 0032 | 22-08-2026 12:23:47 | Tarjeta de débito | Orden en TPV | orden |
| 202608220031 | 257.00 | 0031 | 22-08-2026 12:22:10 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220030 | 82.00 | 0030 | 22-08-2026 12:07:48 | Efectivo | Orden en TPV | orden |
| 202608220029 | 170.00 | 0029 | 22-08-2026 12:07:00 | Tarjeta de débito | Orden en TPV | orden |
| 202608220028 | 68.00 | 0028 | 22-08-2026 12:05:37 | Tarjeta de débito | Orden en TPV | orden |
| 202608220027 | 99.00 | 0027 | 22-08-2026 11:55:58 | Tarjeta de débito | Orden en TPV | orden |
| 202608220026 | 40.00 | 0026 | 22-08-2026 11:51:56 | Efectivo | Orden en TPV | orden |
| 202608220025 | 178.00 | 0025 | 22-08-2026 11:38:10 | Efectivo | Orden en TPV | orden |
| 202608220024 | 170.00 | 0024 | 22-08-2026 11:34:48 | Efectivo | Orden en TPV | orden |
| 202608220023 | 163.00 | 0023 | 22-08-2026 11:29:56 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220022 | 365.00 | 0022 | 22-08-2026 11:17:13 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220021 | 76.00 | 0021 | 22-08-2026 11:14:10 | Tarjeta de débito | Orden en TPV | orden |
| 202608220020 | 150.00 | 0020 | 22-08-2026 10:58:27 | Efectivo | Orden en TPV | orden |
| 202608220019 | 76.00 | 0019 | 22-08-2026 10:55:04 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220018 | 194.00 | 0018 | 22-08-2026 10:42:17 | Efectivo | Orden en TPV | orden |
| 202608220017 | 54.00 | 0017 | 22-08-2026 10:41:50 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220016 | 40.00 | 0016 | 22-08-2026 10:34:51 | Efectivo | Orden en TPV | orden |
| 202608220015 | 259.00 | 0011 | 22-08-2026 10:34:41 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220014 | 298.00 | 0015 | 22-08-2026 10:32:07 | Tarjeta de débito | Orden en TPV | orden |
| 202608220013 | 76.00 | 0014 | 22-08-2026 10:10:32 | Efectivo | Orden en TPV | orden |
| 202608220012 | 88.00 | 0013 | 22-08-2026 09:43:36 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220011 | 187.00 | 0012 | 22-08-2026 09:36:30 | Efectivo | Orden en TPV | orden |
| 202608220010 | 260.00 | 0010 | 22-08-2026 09:31:06 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220009 | 76.00 | 0009 | 22-08-2026 09:26:04 | Efectivo | Orden en TPV | orden |
| 202608220008 | 235.00 | 0008 | 22-08-2026 09:25:16 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220007 | 150.00 | 0007 | 22-08-2026 08:40:48 | Efectivo | Orden en TPV | orden |
| 202608220006 | 158.00 | 0006 | 22-08-2026 08:35:20 | Tarjeta de débito | Orden en TPV | orden |
| 202608220005 | 76.00 | 0005 | 22-08-2026 08:33:40 | Tarjeta de débito | Orden en TPV | orden |
| 202608220004 | 614.00 | 0004 | 22-08-2026 08:32:26 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220003 | 95.00 | 0003 | 22-08-2026 08:17:35 | Efectivo | Orden en TPV | orden |
| 202608220002 | 158.00 | 0002 | 22-08-2026 08:02:48 | Tarjeta bancaria | Orden en TPV | orden |
| 202608220001 | 90.00 | 0001 | 22-08-2026 07:41:11 | Tarjeta bancaria | Orden en TPV | orden |

---

## DETALLE DE PRODUCTOS

| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202608220042 | COFFE TONIC |  | 1 | 99.00 | No |
| 202608220041 | POLVORONES |  | 1 | 40.00 | No |
| 202608220040 | AMERICANO CALIENTE |  | 1 | 59.00 | No |
| 202608220040 | OREJITAS |  | 1 | 40.00 | No |
| 202608220039 | CHAI VAINILLA S/A FRAPPE | LECHE LIGHT | 1 | 115.00 | No |
| 202608220039 | TARO FRAPPE | 02 LECHE DESLACTOSADA | 1 | 115.00 | No |
| 202608220039 | FRAPPE HORCHATA | 02 LECHE DESLACTOSADA | 1 | 110.00 | No |
| 202608220039 | CAPUCCINO CALIENTE CREMA IRLANDESA | 02 LECHE DESLACTOSADA | 1 | 92.00 | No |
| 202608220038 | AGUA |  | 1 | 20.00 | No |
| 202608220037 | CHAPATA P/P/PANELA | PAVO | 1 | 120.00 | No |
| 202608220037 | CAPUCCINO FRIO | 02 LECHE DESLACTOSADA | 1 | 82.00 | No |
| 202608220037 | AGUA |  | 1 | 20.00 | No |
| 202608220037 | ROL DE CANELA MANZANA |  | 1 | 68.00 | No |
| 202608220036 | CAPUCCINO CALIENTE | LECHE LIGHT | 1 | 76.00 | No |
| 202608220036 | SANDWICH P/P/PANELA | MULTIGRANO | 1 | 99.00 | No |
| 202608220035 | MOKA CAPUCCINO FRAPPE | 02LECHE DESLACTOSADA | 2 | 220.00 | No |
| 202608220034 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1 | 76.00 | No |
| 202608220034 | FRAPPE YOGURT MIX BERRIES |  | 1 | 115.00 | No |
| 202608220034 | OREJITAS |  | 1 | 40.00 | No |
| 202608220033 | CHAI VAINILLA FRAPPE | 01 LECHE ENTERA | 2 | 230.00 | No |
| 202608220032 | LIMON SMOOTHIE |  | 1 | 100.00 | No |
| 202608220032 | CAPUCCINO FRIO | 02 LECHE DESLACTOSADA | 1 | 82.00 | No |
| 202608220032 | CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1 | 95.00 | No |
| 202608220032 | ROL DE CANELA |  | 1 | 58.00 | No |
| 202608220032 | ROL DE CANELA CAJETA Y NUEZ |  | 1 | 68.00 | No |
| 202608220031 | SINCRONIZADAS DE JAMON |  | 1 | 130.00 | No |
| 202608220031 | COCA COLA |  | 1 | 45.00 | No |
| 202608220031 | CAPUCCINO FRIO | LECHE LIGHT | 1 | 82.00 | No |
| 202608220030 | CAPUCCINO FRIO | 02 LECHE DESLACTOSADA | 1 | 82.00 | No |
| 202608220029 | CHAI VAINILLA FRIO | 02 LECHE DESLACTOSADA/Shot Extra Cafe | 1 | 120.00 | No |
| 202608220029 | NUTRI BARRA |  | 1 | 50.00 | No |
| 202608220028 | ROL DE CANELA MANZANA |  | 1 | 68.00 | No |
| 202608220027 | SANDWICH P/P/PANELA | MULTIGRANO | 1 | 99.00 | No |
| 202608220026 | OREJITAS |  | 1 | 40.00 | No |
| 202608220025 | CHOCOLATE BLANCO FRAPPE | 02 LECHE DESLACTOSADA | 1 | 110.00 | No |
| 202608220025 | ROL DE CANELA MANZANA |  | 1 | 68.00 | No |
| 202608220024 | ENSALADA | ATÚN | 1 | 170.00 | No |
| 202608220023 | AMERICANO FRIO |  | 1 | 64.00 | No |
| 202608220023 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1 | 99.00 | No |
| 202608220022 | WRAP DE OMELETTE JAMON Y QUESO |  | 1 | 140.00 | No |
| 202608220022 | CHAI VAINILLA S/A FRIO | 02 LECHE DESLACTOSADA | 1 | 105.00 | No |
| 202608220022 | CHAI VAINILLA S/A FRIO | 02 LECHE DESLACTOSADA/Shot Extra Cafe | 1 | 120.00 | No |
| 202608220021 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1 | 76.00 | No |
| 202608220020 | WRAP DE OMELETTE Y CHILORIO |  | 1 | 150.00 | No |
| 202608220019 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1 | 76.00 | No |
| 202608220018 | MOKA BLANCO CAPUCCINO FRIO | 01 LECHE ENTERA | 1 | 97.00 | No |
| 202608220018 | MOKA CAPUCCINO FRIO | 02 LECHE DESLACTOSADA | 1 | 97.00 | No |
| 202608220017 | ESPRESSO DOBLE | 10 CORTADO | 1 | 54.00 | No |
| 202608220016 | OREJITAS |  | 1 | 40.00 | No |
| 202608220015 | AMERICANO CALIENTE | 10 CORTADO | 2 | 130.00 | No |
| 202608220015 | AMERICANO FRIO |  | 1 | 64.00 | No |
| 202608220015 | AMERICANO CALIENTE | 11 DESCAFEINADO/10 CORTADO | 1 | 65.00 | No |
| 202608220014 | GUAYABA SMOOTHIE |  | 1 | 100.00 | No |
| 202608220014 | ROL DE CANELA |  | 1 | 58.00 | No |
| 202608220014 | MOLLETES |  | 1 | 140.00 | No |
| 202608220013 | FLAT WHITE CALIENTE | LECHE LIGHT | 1 | 76.00 | No |
| 202608220012 | FLAT WHITE CALIENTE | 13 LECHE DE SOYA | 1 | 88.00 | No |
| 202608220011 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1 | 99.00 | No |
| 202608220011 | LATTE CALIENTE | 13 LECHE DE SOYA | 1 | 88.00 | No |
| 202608220010 | SINCRONIZADAS DE JAMON |  | 2 | 260.00 | No |
| 202608220009 | LATTE CALIENTE | 01 LECHE ENTERA | 1 | 76.00 | No |
| 202608220008 | WRAP DE OMELETTE JAMON Y QUESO |  | 1 | 140.00 | No |
| 202608220008 | CHOCOLATE FRIO | 02 LECHE DESLACTOSADA | 1 | 95.00 | No |
| 202608220007 | CAPUCCINO FRIO | 01 LECHE ENTERA | 1 | 82.00 | No |
