# Cierre Diario — SEED CAFÉ
## Sábado 29 de agosto de 2026

---

## RESUMEN DEL DÍA

Tienda: SEED CAFÉ (200012148)
Horario operativo: 07:21 – 16:36
Total de órdenes: 45
Total ventas: $7967.00
Ticket promedio: $177.04
Ticket mínimo: $59.00
Ticket máximo: $442.00

---

## POR MÉTODO DE PAGO

Tarjeta bancaria: 17 órdenes — $3497.00 (44%)
Efectivo: 14 órdenes — $2330.00 (29%)
Tarjeta de débito: 12 órdenes — $1817.00 (23%)
Transferencia: 2 órdenes — $323.00 (4%)
TOTAL: 45 órdenes — $7967.00

---

## TOP 5 PRODUCTOS

AMERICANO CALIENTE: 9.0 uds — $537.00
CAPUCCINO CALIENTE: 8.0 uds — $620.00
CHAPATA P/P/PANELA: 5.0 uds — $600.00
SANDWICH P/P/PANELA: 5.0 uds — $495.00
LATTE CALIENTE: 4.0 uds — $316.00

---

## DETALLE DE ÓRDENES

| No. Orden | Monto | Folio/Mesa | Hora | Pago | Fuente | Tipo |
|---|---|---|---|---|---|---|
| 202608290045 | 70.00 | 0044 | 29-08-2026 16:36:49 | Efectivo | Orden en TPV | orden |
| 202608290044 | 174.00 | 0043 | 29-08-2026 16:01:10 | Efectivo | Orden en TPV | orden |
| 202608290043 | 280.00 | 0042 | 29-08-2026 16:00:12 | Efectivo | Orden en TPV | orden |
| 202608290042 | 196.00 | 0041 | 29-08-2026 15:59:00 | Transferencia | Orden en TPV | orden |
| 202608290041 | 97.00 | 0040 | 29-08-2026 15:31:49 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290040 | 105.00 | 0039 | 29-08-2026 15:18:05 | Tarjeta de débito | Orden en TPV | orden |
| 202608290039 | 152.00 | 0038 | 29-08-2026 15:17:36 | Tarjeta de débito | Orden en TPV | orden |
| 202608290038 | 158.00 | 0037 | 29-08-2026 15:01:05 | Tarjeta de débito | Orden en TPV | orden |
| 202608290037 | 249.00 | 0036 | 29-08-2026 14:52:43 | Efectivo | Orden en TPV | orden |
| 202608290036 | 288.00 | 0035 | 29-08-2026 14:38:12 | Efectivo | Orden en TPV | orden |
| 202608290035 | 115.00 | 0034 | 29-08-2026 14:34:47 | Efectivo | Orden en TPV | orden |
| 202608290034 | 110.00 | 0033 | 29-08-2026 14:01:02 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290033 | 325.00 | 0032 | 29-08-2026 13:40:35 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290032 | 110.00 | 0031 | 29-08-2026 13:23:53 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290031 | 115.00 | 0030 | 29-08-2026 13:14:49 | Tarjeta de débito | Orden en TPV | orden |
| 202608290030 | 406.00 | 0029 | 29-08-2026 13:11:58 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290029 | 65.00 | 0028 | 29-08-2026 12:48:22 | Efectivo | Orden en TPV | orden |
| 202608290028 | 194.00 | 0027 | 29-08-2026 12:31:05 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290027 | 271.00 | 0024 | 29-08-2026 12:28:05 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290026 | 416.00 | 0026 | 29-08-2026 12:27:37 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290025 | 306.00 | 0025 | 29-08-2026 12:24:41 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290024 | 110.00 | 0023 | 29-08-2026 11:56:46 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290023 | 291.00 | 0022 | 29-08-2026 11:40:45 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290022 | 206.00 | 0021 | 29-08-2026 11:23:46 | Efectivo | Orden en TPV | orden |
| 202608290021 | 217.00 | 0016 | 29-08-2026 10:56:28 | Tarjeta de débito | Orden en TPV | orden |
| 202608290020 | 92.00 | 0020 | 29-08-2026 10:55:00 | Efectivo | Orden en TPV | orden |
| 202608290019 | 135.00 | 0019 | 29-08-2026 10:49:46 | Tarjeta de débito | Orden en TPV | orden |
| 202608290018 | 158.00 | 0018 | 29-08-2026 10:44:27 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290017 | 127.00 | 0017 | 29-08-2026 10:39:46 | Transferencia | Orden en TPV | orden |
| 202608290016 | 255.00 | 0015 | 29-08-2026 10:25:13 | Tarjeta de débito | Orden en TPV | orden |
| 202608290015 | 96.00 | 0049 | 29-08-2026 10:14:11 | Efectivo | Orden en TPV | orden |
| 202608290014 | 442.00 | 0014 | 29-08-2026 10:07:45 | Efectivo | Orden en TPV | orden |
| 202608290013 | 92.00 | 0008 | 29-08-2026 09:59:31 | Tarjeta de débito | Orden en TPV | orden |
| 202608290012 | 88.00 | 0013 | 29-08-2026 09:46:16 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290011 | 228.00 | 0012 | 29-08-2026 09:38:27 | Tarjeta de débito | Orden en TPV | orden |
| 202608290010 | 59.00 | 0011 | 29-08-2026 09:30:54 | Efectivo | Orden en TPV | orden |
| 202608290009 | 59.00 | 0010 | 29-08-2026 09:28:51 | Efectivo | Orden en TPV | orden |
| 202608290008 | 114.00 | 0009 | 29-08-2026 09:17:16 | Tarjeta de débito | Orden en TPV | orden |
| 202608290007 | 92.00 | 0007 | 29-08-2026 09:06:25 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290006 | 78.00 | 0006 | 29-08-2026 08:49:30 | Tarjeta de débito | Orden en TPV | orden |
| 202608290005 | 135.00 | 0005 | 29-08-2026 08:43:43 | Efectivo | Orden en TPV | orden |
| 202608290004 | 168.00 | 0004 | 29-08-2026 08:25:09 | Tarjeta de débito | Orden en TPV | orden |
| 202608290003 | 284.00 | 0003 | 29-08-2026 08:11:27 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290002 | 163.00 | 0002 | 29-08-2026 07:43:22 | Tarjeta bancaria | Orden en TPV | orden |
| 202608290001 | 76.00 | 0001 | 29-08-2026 07:21:54 | Tarjeta bancaria | Orden en TPV | orden |

---

## DETALLE DE PRODUCTOS

| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202608290045 | TISANA FRIA |  | 1.0 | 70.00 | No |
| 202608290044 | ROL DE CANELA |  | 3.0 | 174.00 | No |
| 202608290043 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202608290043 | MOKA CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 92.00 | No |
| 202608290043 | ROL DE CANELA NUTELLA |  | 1.0 | 68.00 | No |
| 202608290042 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202608290042 | LATTE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202608290041 | MOKA CAPUCCINO FRIO | 02 LECHE DESLACTOSADA | 1.0 | 97.00 | No |
| 202608290040 | MARACUYA SMOOTHIE |  | 1.0 | 105.00 | No |
| 202608290039 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202608290039 | CAPUCCINO CALIENTE | 11 DESCAFEINADO/02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202608290038 | SANDWICH P/P/PANELA | MULTIGRANO | 1.0 | 99.00 | No |
| 202608290038 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202608290037 | MARACUYA SMOOTHIE |  | 1.0 | 105.00 | No |
| 202608290037 | SANDWICH P/P/PANELA | MANTEQUILLA | 1.0 | 99.00 | No |
| 202608290037 | COCA COLA |  | 1.0 | 45.00 | No |
| 202608290036 | CREMA IRLANDESA CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 110.00 | No |
| 202608290036 | AVELLANA CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 110.00 | No |
| 202608290036 | ROL DE CANELA NUTELLA |  | 1.0 | 68.00 | No |
| 202608290035 | FRAPPE NUTELLA |  | 1.0 | 115.00 | No |
| 202608290034 | CHOCOLATE ITALIANO FRAPPE |  | 1.0 | 110.00 | No |
| 202608290033 | MARACUYA SMOOTHIE |  | 2.0 | 210.00 | No |
| 202608290033 | MANGO SMOOTHIE | 07 CHAMOY | 1.0 | 115.00 | No |
| 202608290032 | FRAPPE MAZAPAN | 02 LECHE DESLACTOSADA | 1.0 | 110.00 | No |
| 202608290031 | CHAI ORIGINAL FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 115.00 | No |
| 202608290030 | CHAPATA CHILORIO |  | 1.0 | 150.00 | No |
| 202608290030 | SINCRONIZADAS DE CHILORIO |  | 1.0 | 150.00 | No |
| 202608290030 | GINGER ALE |  | 1.0 | 42.00 | No |
| 202608290030 | AMERICANO FRIO |  | 1.0 | 64.00 | No |
| 202608290029 | AMERICANO CALIENTE | 10 CORTADO | 1.0 | 65.00 | No |
| 202608290028 | MOKA CAPUCCINO FRIO | 02 LECHE DESLACTOSADA | 2.0 | 194.00 | No |
| 202608290027 | MATCHA FRAPPE | 04 LECHE DE ALMENDRA | 1.0 | 127.00 | No |
| 202608290027 | FRAPPE NUTELLA | 04 LECHE DE ALMENDRA | 1.0 | 127.00 | No |
| 202608290027 | TARO FRIO | 01 LECHE ENTERA | 1.0 | 105.00 | No |
| 202608290026 | ENSALADA | ATÚN | 2.0 | 340.00 | No |
| 202608290026 | LATTE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202608290025 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202608290025 | FRAPPE NUTELLA | 01 LECHE ENTERA | 2.0 | 230.00 | No |
| 202608290024 | CHOCOLATE ITALIANO FRAPPE | 09 LECHE DESLC LIGHT | 1.0 | 110.00 | No |
| 202608290023 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202608290023 | CAPUCCINO MENTA CALIENTE |  | 1.0 | 92.00 | No |
| 202608290023 | WRAP DE OMELETTE JAMON Y QUESO |  | 1.0 | 140.00 | No |
| 202608290022 | SANDWICH P/P/PANELA |  | 1.0 | 99.00 | No |
| 202608290022 | HORCHATA FRIA | 03 LECHE DE COCO | 1.0 | 107.00 | No |
| 202608290021 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202608290021 | CAPUCCINO FRIO CARAMEL | 01 LECHE ENTERA | 1.0 | 97.00 | No |
| 202608290020 | MOKA BLANCO CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 92.00 | No |
| 202608290019 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202608290019 | LATTE CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202608290018 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202608290018 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202608290017 | MATCHA FRAPPE | 14 LECHE DE AVENA | 1.0 | 127.00 | No |
| 202608290016 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202608290016 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202608290016 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202608290015 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202608290014 | WRAP DE OMELETTE JAMON Y QUESO |  | 1.0 | 140.00 | No |
| 202608290014 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202608290014 | CHAI VAINILLA CALIENTE | 01 LECHE ENTERA | 1.0 | 100.00 | No |
| 202608290014 | CAPUCCINO FRIO | 01 LECHE ENTERA | 1.0 | 82.00 | No |
| 202608290013 | MOKA BLANCO CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 92.00 | No |
| 202608290012 | CAPUCCINO CALIENTE | 14 LECHE DE AVENA | 1.0 | 88.00 | No |
| 202608290011 | MOLLETES |  | 1.0 | 140.00 | No |
| 202608290011 | LATTE CALIENTE | 14 LECHE DE AVENA | 1.0 | 88.00 | No |
