# Cierre Diario — SEED CAFÉ
## Sábado 19 de septiembre de 2026

---

## RESUMEN DEL DÍA

Tienda: SEED CAFÉ (200012148)
Horario operativo: 07:16 – 14:36
Total de órdenes: 35
Total ventas: $6005.60
Ticket promedio: $171.59
Ticket mínimo: $50.00
Ticket máximo: $560.00

---

## POR MÉTODO DE PAGO

Tarjeta bancaria: 16 órdenes — $2592.00 (43%)
Efectivo: 16 órdenes — $2562.00 (43%)
Tarjeta de débito: 3 órdenes — $851.60 (14%)
TOTAL: 35 órdenes — $6005.60

---

## TOP 5 PRODUCTOS

CAPUCCINO CALIENTE: 6.0 uds — $456.00
FLAT WHITE CALIENTE: 6.0 uds — $456.00
SANDWICH P/P/PANELA: 6.0 uds — $594.00
AMERICANO CALIENTE: 5.0 uds — $295.00
AGUA FRIA1: 3.0 uds — $234.00

---

## DETALLE DE ÓRDENES

| No. Orden | Monto | Folio/Mesa | Hora | Pago | Fuente | Tipo |
|---|---|---|---|---|---|---|
| 202609190035 | 76.00 | 0035 | 19-09-2026 14:36:50 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190034 | 143.00 | 0034 | 19-09-2026 14:09:09 | Efectivo | Orden en TPV | orden |
| 202609190033 | 59.00 | 0033 | 19-09-2026 14:05:29 | Efectivo | Orden en TPV | orden |
| 202609190032 | 360.00 | 0032 | 19-09-2026 13:47:20 | Efectivo | Orden en TPV | orden |
| 202609190031 | 70.00 | 0031 | 19-09-2026 13:23:08 | Efectivo | Orden en TPV | orden |
| 202609190030 | 202.00 | 0030 | 19-09-2026 13:01:48 | Efectivo | Orden en TPV | orden |
| 202609190029 | 223.00 | 0027 | 19-09-2026 12:33:46 | Efectivo | Orden en TPV | orden |
| 202609190028 | 180.00 | 0029 | 19-09-2026 12:20:32 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190027 | 130.00 | 0028 | 19-09-2026 12:16:01 | Efectivo | Orden en TPV | orden |
| 202609190026 | 239.00 | 0026 | 19-09-2026 12:09:20 | Efectivo | Orden en TPV | orden |
| 202609190025 | 100.00 | 0025 | 19-09-2026 11:57:49 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190024 | 120.00 | 0024 | 19-09-2026 11:14:03 | Tarjeta de débito | Orden en TPV | orden |
| 202609190023 | 560.00 | 0015 | 19-09-2026 11:10:10 | Tarjeta de débito | Orden en TPV | orden |
| 202609190022 | 171.60 | 0023 | 19-09-2026 11:02:47 | Tarjeta de débito | Orden en TPV | orden |
| 202609190021 | 196.00 | 0022 | 19-09-2026 10:51:40 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190020 | 175.00 | 0021 | 19-09-2026 10:49:08 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190019 | 175.00 | 0020 | 19-09-2026 10:47:11 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190018 | 92.00 | 0019 | 19-09-2026 10:26:50 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190017 | 290.00 | 0018 | 19-09-2026 10:09:54 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190016 | 76.00 | 0002 | 19-09-2026 10:05:00 | Efectivo | Orden en TPV | orden |
| 202609190015 | 252.00 | 0017 | 19-09-2026 10:02:45 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190014 | 158.00 | 0016 | 19-09-2026 10:00:34 | Efectivo | Orden en TPV | orden |
| 202609190013 | 76.00 | 0014 | 19-09-2026 09:38:38 | Efectivo | Orden en TPV | orden |
| 202609190012 | 478.00 | 0013 | 19-09-2026 09:37:41 | Efectivo | Orden en TPV | orden |
| 202609190011 | 76.00 | 0012 | 19-09-2026 09:34:27 | Efectivo | Orden en TPV | orden |
| 202609190010 | 100.00 | 0011 | 19-09-2026 09:31:42 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190009 | 76.00 | 0010 | 19-09-2026 09:23:25 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190008 | 50.00 | 0009 | 19-09-2026 09:16:49 | Efectivo | Orden en TPV | orden |
| 202609190007 | 125.00 | 0008 | 19-09-2026 09:07:50 | Efectivo | Orden en TPV | orden |
| 202609190006 | 97.00 | 0007 | 19-09-2026 07:59:32 | Efectivo | Orden en TPV | orden |
| 202609190005 | 59.00 | 0006 | 19-09-2026 07:52:43 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190004 | 122.00 | 0005 | 19-09-2026 07:49:58 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190003 | 341.00 | 0004 | 19-09-2026 07:47:01 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190002 | 59.00 | 0003 | 19-09-2026 07:35:40 | Tarjeta bancaria | Orden en TPV | orden |
| 202609190001 | 299.00 | 0001 | 19-09-2026 07:16:52 | Tarjeta bancaria | Orden en TPV | orden |

---

## DETALLE DE PRODUCTOS

| No. Orden | Producto | Opciones | Cantidad | Monto | Reembolso |
|---|---|---|---|---|---|
| 202609190035 | CAPUCCINO CALIENTE | LECHE LIGHT | 1.0 | 76.00 | No |
| 202609190034 | AGUA FRIA1 | MIXBERRIES | 1.0 | 78.00 | No |
| 202609190034 | POLVORONES |  | 1.0 | 40.00 | No |
| 202609190034 | CHILLI PARADISE |  | 1.0 | 25.00 | No |
| 202609190033 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202609190032 | MATCHA FRAPPE | 01 LECHE ENTERA | 2.0 | 230.00 | No |
| 202609190032 | ROL DE CANELA CAJETA Y NUEZ |  | 1.0 | 70.00 | No |
| 202609190032 | ROL DE CANELA |  | 1.0 | 60.00 | No |
| 202609190031 | ROL DE CANELA CAJETA Y NUEZ |  | 1.0 | 70.00 | No |
| 202609190030 | CAPUCCINO FRAPPE | 02 LECHE DESLACTOSADA | 1.0 | 95.00 | No |
| 202609190030 | CAPUCCINO FRAPPE | 04 LECHE DE ALMENDRA | 1.0 | 107.00 | No |
| 202609190029 | MOKA CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 92.00 | No |
| 202609190029 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190029 | NUTRI BARRA |  | 1.0 | 55.00 | No |
| 202609190028 | CONSUMO SEMANAL FARMACADEL |  | 1.0 | 900.00 | No |
| 202609190027 | SINCRONIZADAS DE JAMON |  | 1.0 | 130.00 | No |
| 202609190026 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202609190026 | CHAPATA P/P/PANELA | PAVO | 1.0 | 120.00 | No |
| 202609190026 | AGUA |  | 1.0 | 20.00 | No |
| 202609190025 | CHAI ORIGINAL CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 100.00 | No |
| 202609190024 | CHAI VAINILLA S/A FRIO | 02 LECHE DESLACTOSADA/Shot Extra Cafe | 1.0 | 120.00 | No |
| 202609190023 | MOKA CAPUCCINO CALIENTE | 09 LECHE DESLC LIGHT | 1.0 | 92.00 | No |
| 202609190023 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202609190023 | SANDWICH P/P/PANELA | MANTEQUILLA/PAVO | 1.0 | 99.00 | No |
| 202609190023 | ROL DE CANELA |  | 1.0 | 60.00 | No |
| 202609190023 | MANZANA ENCHILADA |  | 2.0 | 100.00 | No |
| 202609190023 | MOKA CAPUCCINO FRAPPE | 09 LECHE DESLC LIGHT | 1.0 | 110.00 | No |
| 202609190022 | AGUA FRIA1 | GUAYABA | 1.0 | 78.00 | No |
| 202609190022 | AGUA FRIA1 | COCO | 1.0 | 78.00 | No |
| 202609190021 | CHAPATA P/P/PANELA | PIERNA | 1.0 | 120.00 | No |
| 202609190021 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190020 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190020 | SANDWICH P/P/PANELA | MANTEQUILLA/PAVO | 1.0 | 99.00 | No |
| 202609190019 | SANDWICH P/P/PANELA | MANTEQUILLA/PAVO | 1.0 | 99.00 | No |
| 202609190019 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190018 | CAPUCCINO CALIENTE CARAMEL | 01 LECHE ENTERA | 1.0 | 92.00 | No |
| 202609190017 | WRAP DE OMELETTE Y CHILORIO |  | 1.0 | 150.00 | No |
| 202609190017 | MOLLETES |  | 1.0 | 140.00 | No |
| 202609190016 | CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190015 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 2.0 | 152.00 | No |
| 202609190015 | OREJITAS |  | 1.0 | 40.00 | No |
| 202609190015 | ROL DE CANELA |  | 1.0 | 60.00 | No |
| 202609190014 | AMERICANO CALIENTE |  | 1.0 | 59.00 | No |
| 202609190014 | SANDWICH P/P/PANELA | MULTIGRANO/PAVO | 1.0 | 99.00 | No |
| 202609190013 | LATTE CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202609190012 | MOLLETES | JAMON DE PAVO | 1.0 | 160.00 | No |
| 202609190012 | SINCRONIZADAS DE CHILORIO |  | 1.0 | 150.00 | No |
| 202609190012 | CAPUCCINO CALIENTE | 01 LECHE ENTERA | 1.0 | 76.00 | No |
| 202609190012 | MOKA CAPUCCINO CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 92.00 | No |
| 202609190011 | LATTE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
| 202609190010 | FRESA SMOOTHIE |  | 1.0 | 100.00 | No |
| 202609190009 | FLAT WHITE CALIENTE | 02 LECHE DESLACTOSADA | 1.0 | 76.00 | No |
